# net_sweep manifest -- inner, mid, level, faces, pents, chi, file
# mid > inner = rosette; mid < inner = bursts (the crescent defect)
0.05,0.05,4,72032,12,2,net_i0.05_m0.05_lv4.png
0.05,0.28,4,72032,12,2,net_i0.05_m0.28_lv4.png
0.05,0.50,4,72032,12,2,net_i0.05_m0.50_lv4.png
0.05,0.73,4,72032,12,2,net_i0.05_m0.73_lv4.png
0.05,0.95,4,72032,12,2,net_i0.05_m0.95_lv4.png
0.28,0.05,4,72032,12,2,net_i0.28_m0.05_lv4.png
0.28,0.28,4,72032,12,2,net_i0.28_m0.28_lv4.png
0.28,0.50,4,72032,12,2,net_i0.28_m0.50_lv4.png
0.28,0.73,4,72032,12,2,net_i0.28_m0.73_lv4.png
0.28,0.95,4,72032,12,2,net_i0.28_m0.95_lv4.png
0.50,0.05,4,72032,12,2,net_i0.50_m0.05_lv4.png
0.50,0.28,4,72032,12,2,net_i0.50_m0.28_lv4.png
0.50,0.50,4,72032,12,2,net_i0.50_m0.50_lv4.png
0.50,0.73,4,72032,12,2,net_i0.50_m0.73_lv4.png
0.50,0.95,4,72032,12,2,net_i0.50_m0.95_lv4.png
0.73,0.05,4,72032,12,2,net_i0.73_m0.05_lv4.png
0.73,0.28,4,72032,12,2,net_i0.73_m0.28_lv4.png
0.73,0.50,4,72032,12,2,net_i0.73_m0.50_lv4.png
0.73,0.73,4,72032,12,2,net_i0.73_m0.73_lv4.png
0.73,0.95,4,72032,12,2,net_i0.73_m0.95_lv4.png
0.95,0.05,4,72032,12,2,net_i0.95_m0.05_lv4.png
0.95,0.28,4,72032,12,2,net_i0.95_m0.28_lv4.png
0.95,0.50,4,72032,12,2,net_i0.95_m0.50_lv4.png
0.95,0.73,4,72032,12,2,net_i0.95_m0.73_lv4.png
0.95,0.95,4,72032,12,2,net_i0.95_m0.95_lv4.png
