inner,mid,zoom,rx,ry,rz,level,faces,pents,chi,coords,mantissa_ones,density,powers_of_two,short_tail,worst,ink,l_entropy,distinct,net_digest,image,netfile
0.05,0.05,180,0,0,0,3,10292,12,2,185220,4755732,0.493772,2140,0,39,0.208665,1.428575,238,1cdec8a59c41272d,img_i0.05_m0.05_v0.png,net_i0.05_m0.05_lv3.gosnet
0.05,0.05,260,0.35,0.6,0,3,10292,12,2,185220,4755732,0.493772,2140,0,39,0.399912,3.582487,1158,1cdec8a59c41272d,img_i0.05_m0.05_v1.png,net_i0.05_m0.05_lv3.gosnet
0.05,0.05,420,0.9,1.2,0.3,3,10292,12,2,185220,4755732,0.493772,2140,0,39,0.231438,2.048319,908,1cdec8a59c41272d,img_i0.05_m0.05_v2.png,net_i0.05_m0.05_lv3.gosnet
0.05,0.05,760,0.35,2.4,0,3,10292,12,2,185220,4755732,0.493772,2140,0,39,0.108916,0.929010,348,1cdec8a59c41272d,img_i0.05_m0.05_v3.png,net_i0.05_m0.05_lv3.gosnet
0.05,0.28,180,0,0,0,3,10292,12,2,185220,4774142,0.495683,2140,0,37,0.218303,1.569290,363,bf29c5d6eed32349,img_i0.05_m0.28_v0.png,net_i0.05_m0.28_lv3.gosnet
0.05,0.28,260,0.35,0.6,0,3,10292,12,2,185220,4774142,0.495683,2140,0,37,0.412803,3.720173,1201,bf29c5d6eed32349,img_i0.05_m0.28_v1.png,net_i0.05_m0.28_lv3.gosnet
0.05,0.28,420,0.9,1.2,0.3,3,10292,12,2,185220,4774142,0.495683,2140,0,37,0.244653,2.216328,950,bf29c5d6eed32349,img_i0.05_m0.28_v2.png,net_i0.05_m0.28_lv3.gosnet
0.05,0.28,760,0.35,2.4,0,3,10292,12,2,185220,4774142,0.495683,2140,0,37,0.120938,1.068655,405,bf29c5d6eed32349,img_i0.05_m0.28_v3.png,net_i0.05_m0.28_lv3.gosnet
0.05,0.50,180,0,0,0,3,10292,12,2,185220,4760190,0.494235,2140,0,39,0.230212,1.678486,368,5a04e42d5d1ce48f,img_i0.05_m0.50_v0.png,net_i0.05_m0.50_lv3.gosnet
0.05,0.50,260,0.35,0.6,0,3,10292,12,2,185220,4760190,0.494235,2140,0,39,0.425781,3.835554,1234,5a04e42d5d1ce48f,img_i0.05_m0.50_v1.png,net_i0.05_m0.50_lv3.gosnet
0.05,0.50,420,0.9,1.2,0.3,3,10292,12,2,185220,4760190,0.494235,2140,0,39,0.247195,2.270525,983,5a04e42d5d1ce48f,img_i0.05_m0.50_v2.png,net_i0.05_m0.50_lv3.gosnet
0.05,0.50,760,0.35,2.4,0,3,10292,12,2,185220,4760190,0.494235,2140,0,39,0.123743,1.127901,434,5a04e42d5d1ce48f,img_i0.05_m0.50_v3.png,net_i0.05_m0.50_lv3.gosnet
0.05,0.73,180,0,0,0,3,10292,12,2,185220,4751422,0.493324,2140,0,38,0.247742,1.809541,372,aa2e28a01bd0d23b,img_i0.05_m0.73_v0.png,net_i0.05_m0.73_lv3.gosnet
0.05,0.73,260,0.35,0.6,0,3,10292,12,2,185220,4751422,0.493324,2140,0,38,0.453384,4.050763,1274,aa2e28a01bd0d23b,img_i0.05_m0.73_v1.png,net_i0.05_m0.73_lv3.gosnet
0.05,0.73,420,0.9,1.2,0.3,3,10292,12,2,185220,4751422,0.493324,2140,0,38,0.272529,2.472136,987,aa2e28a01bd0d23b,img_i0.05_m0.73_v2.png,net_i0.05_m0.73_lv3.gosnet
0.05,0.73,760,0.35,2.4,0,3,10292,12,2,185220,4751422,0.493324,2140,0,38,0.145327,1.293101,460,aa2e28a01bd0d23b,img_i0.05_m0.73_v3.png,net_i0.05_m0.73_lv3.gosnet
