# frame, leg, t, axis x, axis y, axis z, best n, diff %
0, 0, 0.0000, 0.000000, -0.525731, -0.850651, 5, 0.0000
1, 0, 0.0111, 0.004260, -0.520729, -0.853711, 5, 36.7707
2, 0, 0.0222, 0.008521, -0.515700, -0.856727, 5, 51.6701
3, 0, 0.0333, 0.012781, -0.510643, -0.859698, 5, 60.9088
4, 0, 0.0444, 0.017040, -0.505560, -0.862623, 5, 67.2944
5, 0, 0.0556, 0.021298, -0.500450, -0.865504, 5, 71.0537
6, 0, 0.0667, 0.025555, -0.495314, -0.868338, 5, 73.1395
7, 0, 0.0778, 0.029811, -0.490151, -0.871127, 2, 73.5444
8, 0, 0.0889, 0.034065, -0.484963, -0.873871, 2, 73.2643
9, 0, 0.1000, 0.038317, -0.479750, -0.876568, 2, 73.7559
10, 0, 0.1111, 0.042568, -0.474511, -0.879220, 2, 73.9270
11, 0, 0.1222, 0.046816, -0.469248, -0.881825, 2, 74.0789
12, 0, 0.1333, 0.051062, -0.463959, -0.884384, 2, 73.5390
13, 0, 0.1444, 0.055305, -0.458647, -0.886896, 2, 73.3575
14, 0, 0.1556, 0.059545, -0.453310, -0.889362, 2, 72.8018
15, 0, 0.1667, 0.063782, -0.447950, -0.891781, 2, 73.5843
16, 0, 0.1778, 0.068016, -0.442565, -0.894153, 2, 73.7904
17, 0, 0.1889, 0.072246, -0.437158, -0.896478, 2, 73.0661
18, 0, 0.2000, 0.076472, -0.431728, -0.898756, 2, 72.9142
19, 0, 0.2111, 0.080694, -0.426275, -0.900987, 2, 72.5222
20, 0, 0.2222, 0.084912, -0.420800, -0.903171, 2, 72.5616
21, 0, 0.2333, 0.089126, -0.415302, -0.905307, 2, 71.6711
22, 0, 0.2444, 0.093335, -0.409783, -0.907396, 2, 71.6395
23, 0, 0.2556, 0.097539, -0.404242, -0.909436, 2, 71.9132
24, 0, 0.2667, 0.101737, -0.398680, -0.911430, 2, 72.2012
25, 0, 0.2778, 0.105931, -0.393097, -0.913375, 2, 73.1534
26, 0, 0.2889, 0.110119, -0.387493, -0.915272, 2, 73.6884
27, 0, 0.3000, 0.114301, -0.381869, -0.917121, 2, 73.6228
28, 0, 0.3111, 0.118477, -0.376225, -0.918922, 2, 72.7495
29, 0, 0.3222, 0.122647, -0.370561, -0.920675, 2, 71.6593
30, 0, 0.3333, 0.126811, -0.364878, -0.922379, 2, 71.7643
31, 0, 0.3444, 0.130967, -0.359175, -0.924035, 2, 70.6317
32, 0, 0.3556, 0.135117, -0.353454, -0.925642, 2, 70.1045
33, 0, 0.3667, 0.139260, -0.347714, -0.927201, 2, 69.1149
34, 0, 0.3778, 0.143396, -0.341956, -0.928711, 2, 69.7673
35, 0, 0.3889, 0.147524, -0.336180, -0.930172, 2, 69.7096
36, 0, 0.4000, 0.151644, -0.330386, -0.931584, 2, 69.3634
37, 0, 0.4111, 0.155756, -0.324575, -0.932948, 2, 68.2559
38, 0, 0.4222, 0.159860, -0.318746, -0.934262, 2, 68.3989
39, 0, 0.4333, 0.163956, -0.312901, -0.935527, 2, 68.2387
40, 0, 0.4444, 0.168043, -0.307040, -0.936743, 2, 66.9389
41, 0, 0.4556, 0.172121, -0.301162, -0.937910, 2, 67.0838
42, 0, 0.4667, 0.176190, -0.295269, -0.939028, 2, 68.6346
43, 0, 0.4778, 0.180250, -0.289360, -0.940096, 2, 70.3373
44, 0, 0.4889, 0.184301, -0.283436, -0.941115, 2, 71.6691
45, 0, 0.5000, 0.188342, -0.277497, -0.942084, 2, 73.4916
46, 0, 0.5111, 0.192373, -0.271543, -0.943004, 2, 73.5621
47, 0, 0.5222, 0.196393, -0.265576, -0.943875, 2, 73.6169
48, 0, 0.5333, 0.200404, -0.259594, -0.944695, 2, 73.6583
49, 0, 0.5444, 0.204404, -0.253598, -0.945467, 2, 72.6810
50, 0, 0.5556, 0.208393, -0.247590, -0.946188, 2, 71.6553
51, 0, 0.5667, 0.212371, -0.241568, -0.946860, 2, 71.4137
52, 0, 0.5778, 0.216338, -0.235533, -0.947482, 2, 72.2461
53, 0, 0.5889, 0.220294, -0.229487, -0.948054, 2, 72.1075
54, 0, 0.6000, 0.224238, -0.223428, -0.948576, 2, 71.9477
55, 0, 0.6111, 0.228170, -0.217357, -0.949049, 2, 71.9167
56, 0, 0.6222, 0.232091, -0.211275, -0.949472, 2, 72.7318
57, 0, 0.6333, 0.235999, -0.205182, -0.949845, 2, 73.3407
58, 0, 0.6444, 0.239895, -0.199078, -0.950168, 2, 73.7737
59, 0, 0.6556, 0.243778, -0.192963, -0.950441, 2, 73.6445
60, 0, 0.6667, 0.247648, -0.186839, -0.950664, 2, 74.3230
61, 0, 0.6778, 0.251506, -0.180705, -0.950837, 2, 74.2781
62, 0, 0.6889, 0.255350, -0.174561, -0.950960, 2, 74.6321
63, 0, 0.7000, 0.259181, -0.168408, -0.951033, 2, 74.3624
64, 0, 0.7111, 0.262998, -0.162246, -0.951056, 2, 74.0133
65, 0, 0.7222, 0.266801, -0.156076, -0.951030, 2, 73.9625
66, 0, 0.7333, 0.270590, -0.149897, -0.950953, 2, 73.8777
67, 0, 0.7444, 0.274365, -0.143710, -0.950826, 2, 73.4763
68, 0, 0.7556, 0.278126, -0.137516, -0.950650, 2, 72.9837
69, 0, 0.7667, 0.281872, -0.131315, -0.950423, 2, 72.4246
70, 0, 0.7778, 0.285603, -0.125107, -0.950147, 2, 72.2480
71, 0, 0.7889, 0.289320, -0.118892, -0.949820, 2, 72.1987
72, 0, 0.8000, 0.293021, -0.112671, -0.949444, 2, 72.2110
73, 0, 0.8111, 0.296706, -0.106445, -0.949018, 2, 72.9329
74, 0, 0.8222, 0.300376, -0.100212, -0.948542, 2, 73.1529
75, 0, 0.8333, 0.304031, -0.093974, -0.948016, 2, 73.1800
76, 0, 0.8444, 0.307669, -0.087732, -0.947440, 2, 72.8802
77, 0, 0.8556, 0.311291, -0.081484, -0.946815, 2, 72.5789
78, 0, 0.8667, 0.314897, -0.075233, -0.946140, 2, 72.8757
79, 0, 0.8778, 0.318486, -0.068977, -0.945415, 2, 72.1864
80, 0, 0.8889, 0.322058, -0.062718, -0.944640, 2, 71.6415
81, 0, 0.9000, 0.325614, -0.056456, -0.943816, 2, 72.2145
82, 0, 0.9111, 0.329152, -0.050190, -0.942942, 2, 71.6750
83, 0, 0.9222, 0.332674, -0.043922, -0.942019, 2, 70.5163
84, 0, 0.9333, 0.336177, -0.037652, -0.941046, 2, 69.8225
85, 0, 0.9444, 0.339663, -0.031380, -0.940023, 2, 68.3891
86, 0, 0.9556, 0.343131, -0.025106, -0.938952, 2, 67.1750
87, 0, 0.9667, 0.346582, -0.018830, -0.937831, 2, 65.9645
88, 0, 0.9778, 0.350014, -0.012554, -0.936661, 3, 60.0345
89, 0, 0.9889, 0.353427, -0.006277, -0.935441, 3, 44.3013
90, 1, 0.0000, 0.356822, 0.000000, -0.934172, 3, 0.0000
91, 1, 0.0111, 0.358713, -0.003511, -0.933441, 3, 33.3708
