wavelength_um,reflectance,emissivity
0.7539579632,0.1928830336,0.8071169664
0.7575212897,0.1780847548,0.8219152452
0.7610846162,0.1830228201,0.8169771799
0.7646479427,0.2073630294,0.7926369706
0.7682112692,0.2469923522,0.7530076478
0.7717745957,0.2957603792,0.7042396208
0.7753379222,0.347567481,0.652432519
0.7789012487,0.3977059004,0.6022940996
0.7824645751,0.4432158041,0.5567841959
0.7860279016,0.4826125754,0.5173874246
0.7895912281,0.515410491,0.484589509
0.7931545546,0.5416907147,0.4583092853
0.7967178811,0.5617933164,0.4382066836
0.8002812076,0.5761263984,0.4238736016
0.8038445341,0.5850593117,0.4149406883
0.8074078606,0.5888683277,0.4111316723
0.810971187,0.5877122221,0.4122877779
0.8145345135,0.5816241115,0.4183758885
0.81809784,0.5705126577,0.4294873423
0.8216611665,0.5541707672,0.4458292328
0.825224493,0.5322940552,0.4677059448
0.8287878195,0.5045154481,0.4954845519
0.832351146,0.4704668516,0.5295331484
0.8359144725,0.4298835088,0.5701164912
0.8394777989,0.3827694709,0.6172305291
0.8430411254,0.3296382093,0.6703617907
0.8466044519,0.2718209076,0.7281790924
0.8501677784,0.2117840766,0.7882159234
0.8537311049,0.1533158301,0.8466841699
0.8572944314,0.1013622812,0.8986377188
0.8608577579,0.06131752532,0.9386824747
0.8644210844,0.03779781918,0.9622021808
0.8679844108,0.03331661917,0.9666833808
0.8715477373,0.04751652092,0.9524834791
0.8751110638,0.07738597658,0.9226140234
0.8786743903,0.1183033829,0.8816966171
0.8822377168,0.1653187868,0.8346812132
0.8858010433,0.2141246826,0.7858753174
0.8893643698,0.261508991,0.738491009
0.8929276963,0.3053819462,0.6946180538
0.8964910227,0.3445746025,0.6554253975
0.9000543492,0.3785731745,0.6214268255
0.9036176757,0.4072794683,0.5927205317
0.9071810022,0.430829003,0.569170997
0.9107443287,0.4494667778,0.5505332222
0.9143076552,0.463468788,0.536531212
0.9178709817,0.4730958313,0.5269041687
0.9214343082,0.4785685507,0.5214314493
0.9249976346,0.480055863,0.519944137
0.9285609611,0.477671738,0.522328262
0.9321242876,0.4714774445,0.5285225555
0.9356876141,0.4614879507,0.5385120493
0.9392509406,0.4476823368,0.5523176632
0.9428142671,0.4300189801,0.5699810199
0.9463775936,0.4084570069,0.5915429931
0.94994092,0.3829860398,0.6170139602
0.9535042465,0.3536664616,0.6463335384
0.957067573,0.3206819383,0.6793180617
0.9606308995,0.2844042404,0.7155957596
0.964194226,0.2454667818,0.7545332182
0.9677575525,0.2048371658,0.7951628342
0.971320879,0.1638706132,0.8361293868
0.9748842055,0.1243174998,0.8756825002
0.9784475319,0.08825425446,0.9117457455
0.9820108584,0.05791473195,0.942085268
0.9855741849,0.03542450591,0.9645754941
0.9891375114,0.02248044771,0.9775195523
0.9927008379,0.02005594839,0.9799440516
0.9962641644,0.02822335032,0.9717766497
0.9998274909,0.04615409557,0.9538459044
1.003390817,0.07229446798,0.927705532
1.006954144,0.1046540567,0.8953459433
1.01051747,0.1411168804,0.8588831196
1.014080797,0.1796988158,0.8203011842
1.017644123,0.2187124978,0.7812875022
1.02120745,0.2568384021,0.7431615979
1.024770776,0.2931238691,0.7068761309
1.028334103,0.3269386374,0.6730613626
1.031897429,0.3579116224,0.6420883776
1.035460756,0.3858657759,0.6141342241
1.039024082,0.4107602236,0.5892397764
1.042587409,0.4326433086,0.5673566914
1.046150735,0.4516168197,0.5483831803
1.049714062,0.467810044,0.532189956
1.053277388,0.4813617212,0.5186382788
1.056840715,0.4924079943,0.5075920057
1.060404041,0.5010747246,0.4989252754
1.063967368,0.5074728801,0.4925271199
1.067530694,0.5116960379,0.4883039621
1.071094021,0.5138193146,0.4861806854
1.074657347,0.5138992584,0.4861007416
1.078220674,0.5119744086,0.4880255914
1.081784,0.5080663549,0.4919336451
1.085347327,0.5021812328,0.4978187672
1.088910653,0.4943116711,0.5056883289
1.09247398,0.4844392807,0.5155607193
1.096037306,0.4725378322,0.5274621678
1.099600633,0.458577333,0.541422667
1.103163959,0.4425292617,0.5574707383
1.106727285,0.4243732601,0.5756267399
1.110290612,0.4041055992,0.5958944008
1.113853938,0.3817497084,0.6182502916
1.117417265,0.3573689617,0.6426310383
1.120980591,0.3310817072,0.6689182928
1.124543918,0.3030781715,0.6969218285
1.128107244,0.2736383185,0.7263616815
1.131670571,0.2431489945,0.7568510055
1.135233897,0.2121177785,0.7878822215
1.138797224,0.1811800303,0.8188199697
1.14236055,0.1510949697,0.8489050303
1.145923877,0.1227266259,0.8772733741
1.149487203,0.09700663904,0.902993361
1.15305053,0.07487847235,0.9251215276
1.156613856,0.05722651269,0.9427734873
1.160177183,0.04479803848,0.9552019615
1.163740509,0.03812974201,0.961870258
1.167303836,0.03749181074,0.9625081893
1.170867162,0.04286044099,0.957139559
1.174430489,0.05392424927,0.9460757507
1.177993815,0.07012291915,0.9298770808
1.181557142,0.09070990382,0.9092900962
1.185120468,0.1148271218,0.8851728782
1.188683795,0.1415791831,0.8584208169
1.192247121,0.1700972391,0.8299027609
1.195810448,0.1995866654,0.8004133346
1.199373774,0.2293569611,0.7706430389
1.202937101,0.258835435,0.741164565
1.206500427,0.2875680687,0.7124319313
1.210063754,0.3152115162,0.6847884838
1.21362708,0.3415199091,0.6584800909
1.217190407,0.3663293978,0.6336706022
1.220753733,0.3895425041,0.6104574959
1.22431706,0.4111135781,0.5888864219
1.227880386,0.431036042,0.568963958
1.231443713,0.4493316661,0.5506683339
1.235007039,0.4660418541,0.5339581459
1.238570366,0.4812207536,0.5187792464
1.242133692,0.4949299439,0.5050700561
1.245697019,0.507234433,0.492765567
1.249260345,0.5181997116,0.4818002884
1.252823671,0.5278896394,0.4721103606
1.256386998,0.5363649747,0.4636350253
1.259950324,0.5436823924,0.4563176076
1.263513651,0.5498938663,0.4501061337
1.267076977,0.5550463185,0.4449536815
1.270640304,0.5591814616,0.4408185384
