wavelength_um,mirror_reflectance,sol_best_emitter_emissivity,planck_1300K_w_m2_um
0.5,0.99997152,0.53111565,2.9181417
0.511,0.99998943,0.63890813,4.2149068
0.522,0.99986127,0.9400845,5.9807353
0.533,0.99995188,0.6081774,8.3464963
0.544,0.99998142,0.49467753,11.46816
0.555,0.87279542,0.71438452,15.528986
0.566,0.99999769,0.97774397,20.741439
0.577,0.99999616,0.56597694,27.348751
0.588,0.99974476,0.36591719,35.626089
0.599,0.9999968,0.36295396,45.881253
0.61,0.99999862,0.51205504,58.454889
0.621,0.99999967,0.76456887,73.720179
0.632,0.99999107,0.73233785,92.082003
0.643,0.99999906,0.55829979,113.97558
0.654,0.99992531,0.50686265,139.86459
0.665,0.99996674,0.58382579,170.23884
0.676,0.99997799,0.76389176,205.61147
0.687,0.99965902,0.86843744,246.51576
0.698,0.99995606,0.74284766,293.50161
0.709,0.99931756,0.59464045,347.13177
0.72,0.99987377,0.53639231,407.97778
0.731,0.99996277,0.56712636,476.61581
0.742,0.99998412,0.6748152,553.6224
0.753,0.98865313,0.8001643,639.57016
0.764,0.99999445,0.79836074,735.02353
0.775,0.99993121,0.65733448,840.53457
0.786,0.99999545,0.51767044,956.63893
0.797,0.99285573,0.43686686,1083.852
0.808,0.99990367,0.41098226,1222.6652
0.819,0.99996382,0.43311974,1373.5428
0.83,0.99999717,0.50634687,1536.9186
0.841,0.99999381,0.63924628,1713.1931
0.852,0.9999309,0.81876563,1902.7312
0.863,0.9999945,0.95502429,2105.8602
0.874,0.99989777,0.93334742,2322.8675
0.885,0.99999366,0.79681881,2553.9995
0.896,0.99987799,0.66052381,2799.4605
0.907,0.99994093,0.57024651,3059.4117
0.918,0.99996586,0.52663471,3333.9708
0.929,0.99964584,0.52288637,3623.2119
0.94,0.99988375,0.55570895,3927.1655
0.951,0.99966174,0.62533168,4245.8189
0.962,0.99977125,0.7302864,4579.117
0.973,0.99977828,0.8550645,4926.9629
0.984,0.76852394,0.95573017,5289.2193
0.995,0.99985536,0.97585234,5665.7094
1.006,0.99992453,0.90450013,6056.2187
1.017,0.99885383,0.78830749,6460.4966
1.028,0.99665851,0.67611527,6878.2576
1.039,0.99980416,0.58939782,7309.1838
1.05,0.99971621,0.53100688,7752.9266
1.061,0.99098761,0.49769998,8209.1085
1.072,0.99901231,0.48596848,8677.3252
1.083,0.99983855,0.49371963,9157.1479
1.094,0.99980156,0.52040748,9648.1252
1.105,0.99432513,0.56656182,10149.785
1.116,0.99803498,0.63269756,10661.638
1.127,0.99988646,0.71708097,11183.177
1.138,0.99992482,0.81194357,11713.882
1.149,0.99961793,0.8996679,12253.22
1.16,0.99936365,0.95471662,12800.648
1.171,0.99797127,0.95682652,13355.615
1.182,0.99883101,0.90646667,13917.563
1.193,0.99905386,0.82372808,14485.929
1.204,0.99980755,0.73249831,15060.148
1.215,0.99993313,0.64873707,15639.654
1.226,0.99986729,0.57927248,16223.88
1.237,0.99882752,0.52528373,16812.26
1.248,0.99978448,0.48552969,17404.234
1.259,0.99952163,0.45815893,17999.243
1.27,0.47126415,0.44148832,18596.737
1.281,0.98961637,0.43425837,19196.168
1.292,0.99973437,0.43567007,19797.002
1.303,0.9999025,0.4453438,20398.708
1.314,0.99968817,0.46325209,21000.768
1.325,0.99985469,0.48963375,21602.674
1.336,0.99997552,0.52487212,22203.928
